"識別ID","回答日時","セグメント","タグ","現在の職場で働くことを親しい友人や知人に、どの程度おすすめしたいと思いますか？ ※周囲に転職を検討されている友人・知人の方がいると仮定してお答えください","NPS要因 - 会社の理念やビジョン","影響理由 - 会社の理念やビジョン","NPS要因 - 会社の安定性・将来性","影響理由 - 会社の安定性・将来性","NPS要因 - 店舗/部門目標への共感","影響理由 - 店舗/部門目標への共感","NPS要因 - 顧客/お取引先との関係","影響理由 - 顧客/お取引先との関係","NPS要因 - 仕事の量","影響理由 - 仕事の量","NPS要因 - 自身が受ける評価","影響理由 - 自身が受ける評価","NPS要因 - 報酬(金額)","影響理由 - 報酬(金額)","NPS要因 - 成長の実感","影響理由 - 成長の実感","NPS要因 - 上司・上長との関係","影響理由 - 上司・上長との関係","NPS要因 - 同僚との関係","影響理由 - 同僚との関係","NPS要因 - PAとの関係","影響理由 - PAとの関係","NPS要因 - 店舗とHOMEの関係","影響理由 - 店舗とHOMEの関係","NPS要因 - 仕事のやりがい","影響理由 - 仕事のやりがい","NPS要因 - 福利厚生","影響理由 - 福利厚生","NPS要因 - 店舗/職場の清潔さ","影響理由 - 店舗/職場の清潔さ","NPS要因 - 会社の風土","影響理由 - 会社の風土","NPS要因 - 社会に対する事業の貢献度","影響理由 - 社会に対する事業の貢献度","NPS要因 - 会社・ブランドの知名度","影響理由 - 会社・ブランドの知名度","NPS要因 - 労働時間","影響理由 - 労働時間","NPS要因 - 昇給のしやすさ","影響理由 - 昇給のしやすさ","NPS要因 - 昇格のしやすさ","影響理由 - 昇格のしやすさ","NPS要因 - 業務における裁量","影響理由 - 業務における裁量","NPS要因 - 会社が用意する研修","影響理由 - 会社が用意する研修","NPS要因 - ツールや設備・インフラの整備","影響理由 - ツールや設備・インフラの整備","NPS要因 - ユニフォーム/服装のルール","影響理由 - ユニフォーム/服装のルール","現在、実際に今の職場への採用応募をすすめたい方はどれぐらいいますか？","今の職場でどの程度長く働きたいと思いますか？","総活躍企画のバームクーヘンについてどう思いますか？","上記の回答を選んだ理由を教えてください。","権限委譲の現状についてどう思いますか？","上記の回答を選んだ理由を教えてください。","会社の副業のルール（会社の許可を取った場合のみ副業可 能）を知っていますか？","今後副業をしたいですか？","今後副業をするとしたら、どんな目的ですか？","副業をするとしたら、具体的にどんなことをしたいですか？","IPアドレス","UserAgent"
"mnfYqqALT0","2019/06/18 11:50:32","セグメントなし","","2","プラスに影響した","働く上で
モチベーションの源になるものだから","非常にマイナスに影響した","計上利益の低さ
他社出資比率の増加","影響しなかった","","プラスに影響した","店頭で
接客の時間が多く取れる

マニュアル通りの
対応でなく裁量が与えられている","影響しなかった","","非常にマイナスに影響した","やった仕事に対しての
正当な評価が与えられていないと
感じた","非常にマイナスに影響した","年齢、経験、資格を
加味した給与が不十分","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","プラスに影響した","好きな商品に触れて
世界の食材を味わえる","非常にマイナスに影響した","自身に活かされるものが
殆ど無い","影響しなかった","","非常にマイナスに影響した","人事評価の不明瞭さ","影響しなかった","","プラスに影響した","誰もが
悪い印象を抱かないブランドである","非常にマイナスに影響した","残業が多く
手当が少ない","非常にマイナスに影響した","人事評価の不明瞭さ
定期昇給が無い","非常にマイナスに影響した","人事評価の不明瞭さ","影響しなかった","","影響しなかった","","非常にマイナスに影響した","高機能なPCツールや
什器が足りないと感じる","影響しなかった","","いない","今のところ退職は考えていない","良い企画だったとは思わない。","スタッフの日々の仕事に
光を当て、相互に評価し合うと
言うこと自体は良かったが

働きやすさや
スタッフのモチベーション
向上には繋がっていない","しっかりと進んでいるように感じる。","売り場主体の
商品企画が出来ている","知らない","したい","ウェルカムでの業務以外でも自己研鑽を積みたい, 所得を増やしたい","会社での自身の経験を活かして
その分野のフリーランスとして
活動してみたい","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"4VKAgX5S65","2019/06/18 11:16:36","セグメントなし","","5","ややプラスに影響した","会社全体の理念やビジョンはとても素晴らしいものだと感じているから","ややプラスに影響した","今後行おうとしているビジョンや会社の取り組みは、この業界が好きな方にはプラスだと感じたので。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","前職がベンチャーで外資似た自分にとっては、オープンな環境ではないと感じた。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","組織が大きいので関わるメンバーが多い。","ややプラスに影響した","とても丁寧に研修があり、会社のことを理解するための場が非常に多いことにとても交換があった","ややマイナスに影響した","サーバー問題など、仕事をする上でやりにくい。クラウドサーバーなどにしてほしい。","影響しなかった","","いない","今のところ退職は考えていない","良い企画だったとは思わない。","どちらとも言えないという回答が正しいです。
入社タイミングで参加をあまりしていないので、企画があまりわかっていなかった。","少しは進んでいるように感じる。","まだあまり以前と今の差が理解できていないので、なんとも言えない。","知らない","したい","ウェルカムでの業務以外でも自己研鑽を積みたい, 社会貢献をしたい","自身のスキルを活かしたベンチャー支援","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"SuW5EQrBvo","2019/06/18 00:11:47","セグメントなし","","2","影響しなかった","","ややマイナスに影響した","あまり明るい未来を感じられない","影響しなかった","","影響しなかった","","マイナスに影響した","マンパワーに頼っている面が多い","ややマイナスに影響した","評価基準が不明確","非常にマイナスに影響した","周りの企業に比べてもとりわけ低いと思う","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややプラスに影響した","やりがいは感じる","マイナスに影響した","充実していないから","マイナスに影響した","職場環境が良くない","影響しなかった","","影響しなかった","","ややプラスに影響した","好きなブランドの仕事をできることは、やりがいなので","マイナスに影響した","","影響しなかった","","影響しなかった","","ややマイナスに影響した","","ややマイナスに影響した","","非常にマイナスに影響した","","影響しなかった","","いない","３年以上5年以内くらい","良い企画だったとは思わない。","よくなった実感がないから","進んでいるようには感じない。","結局は上の判断や確認が必要なことが多いから","知っている","したい","ウェルカムでの業務以外でも自己研鑽を積みたい, 所得を増やしたい","グラフィックデザイン","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"oV9OSJxbOi","2019/06/17 23:53:39","セグメントなし","","3","影響しなかった","","ややマイナスに影響した","店舗は増えるが、常に人員不足が解消されず、それが売上にも響いているように思います。","影響しなかった","","影響しなかった","","マイナスに影響した","どこまでが自分の仕事なのかわかりづらく、不安になる。
試作は常に間借りで、仕事の時間が制限されるのが大変。","影響しなかった","","影響しなかった","","ややマイナスに影響した","何が成長の目安なのかわからない。","ややマイナスに影響した","上長は基本、部内メンバーとは一緒にいる機会が少ないので、短時間のMTGでは伝わらないことが多いように思います。","ややプラスに影響した","この会社や料理が好きで働いているメンバーがほとんどなので、話しがしやすい。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","各店により状況は違うと思いますが、基本的にマーケットも
キッチンも保管場所が少ないと思います。それが原因で清潔に保てない状況もあると思います。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","評価者が変わることが多いので評価自体ちゃんとされているのかわからない。","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","特に化粧や染毛のルールがあるはずなのに、実施されているようにあまり思えない。
それなら、ルールを変更したほうがいいと思う。","いない","半年以内くらい","良い企画だった。","みんなで目標に向かって、小さな目標から達成していくところがよかったと思います。","進んでいるようには感じない。","あまり実感はありません。","知らない","どちらともいえない","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"YF76qytI2s","2019/06/17 23:53:02","セグメントなし","","1","ややマイナスに影響した","","非常にマイナスに影響した","離職率が高く人が育たない。
節約意識が低く会社としての無駄な出費が多い印象。
急な決定事項が多く、計画性がない。","非常にマイナスに影響した","店舗の目標が何かが明確でない。どういうお店にしたいかという一体感が薄い。","プラスに影響した","個人を信頼して依頼をしてくれるなど、継続的な関係ができる。","ややマイナスに影響した","やれる人がやるという風土が強く、個人差が激しい。
退職者の後に人員が補充されず、イベントなどが立て続けにある為、仕事量が増える一方である。","非常にマイナスに影響した","項目にあるにも関わらず、メンバーの教育や業務改善、知識向上の為に行った自主勉強などの達成事項に対して、面談の時に「数字で分からないものは判断できない」と言われた。
数字においても、たとえ個人目標を達成しても結局は全体の売上が全てと言われ、相対評価されることはなく、きちんと個人単位で評価されたことは一度もない。
そもそも面談されることに意味はあるのかとすら感じる。","非常にマイナスに影響した","そもそもの給与が少ないのに、年1回の支給は辛い。","ややプラスに影響した","","非常にマイナスに影響した","上司が発生させたクレームを、部下が残業して対応したり謝罪をしているのに、それを知りながら進捗確認や結果も聞かずに先に帰るなど、責任感を持って仕事をしているのか疑問に感じることが多数ある。
何か問題が起きた時にリカバリープランを立てることもできず、重要事項の共有も遅い。
先を見越した計画的な管理もできていないため、効率の悪さが目立つ。
上司に対する不信感が非常に強い。","プラスに影響した","相談に乗ってくれたり、困ったことは手助けしてくれる同僚がいる。","影響しなかった","","影響しなかった","","プラスに影響した","","非常にマイナスに影響した","家賃補助がないのが辛い。
給与も低く退職金も出ない為、働き盛りのうちに転職を視野に入れざるを得ない。","非常にマイナスに影響した","ストックルーム、メンバールームが狭く、作業場と休憩場が同じ場所なのが落ち着かない。","非常にマイナスに影響した","離職率が高い。
","非常にマイナスに影響した","","影響しなかった","","マイナスに影響した","","非常にマイナスに影響した","まともに昇給したことがない。
採用時に募集要項の金額から大幅に減らされ、そこから上がらない仕組み。","非常にマイナスに影響した","「辞めた人がいたら」誰かがやる、というやり方を繰り返している印象。","マイナスに影響した","","影響しなかった","","非常にマイナスに影響した","顧客情報をExcelで管理しているなど、アナログで効率が悪くミスも多い。
個人情報の取り扱いに対するセキュリティや危機感も甘い。
EDI導入していても、結局FAXやメールなので連絡を取り合うなど、二度手間な作業が多い。","影響しなかった","","いない","１年以上3年以内くらい","良い企画だったとは思わない。","自分たちのツールの使い方に問題があったのかもしれないが、特にこれによって店の意識が変わったということは感じられなかった。","しっかりと進んでいるように感じる。","マネジメントができておらず、そうせざるを得ない状況。","知っている","したい","所得を増やしたい","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"OX9Yq88wnF","2019/06/17 23:11:13","セグメントなし","","4","影響しなかった","","ややマイナスに影響した","将来こうしたいという考えが見えなかった。","ややプラスに影響した","お店での目標は共有できてた。(予算など)","ややマイナスに影響した","あまり顧客様はいないから。","影響しなかった","","ややマイナスに影響した","評価の段階が細かった","マイナスに影響した","報酬の機会が少なかった","ややプラスに影響した","長く働いていて色んな人と関わりコミュニケーション力が前よりついた","ややプラスに影響した","頼れる人が多かった","ややプラスに影響した","同僚があまりいなかった","影響しなかった","","ややプラスに影響した","メールなどで連絡や、実際お店にきてくれて話ができた","ややプラスに影響した","できることが増えてきたら、やりがいを感じた","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","なかなか昇格できなかった","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややプラスに影響した","ルールが少なく自由にできた","いない","出来る限りすぐやめたい","良い企画だった。","他店舗の様子も分かった","少しは進んでいるように感じる。","前より仕事内容が濃くなった","知っている","どちらともいえない","","お金が稼げる仕事","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"WCrSZUj5mZ","2019/06/17 22:34:59","セグメントなし","","2","プラスに影響した","知名度はあり面白いことをやっている。
やってくれそう
期待感","マイナスに影響した","対外的や表面を気にするが
内部、社内の安定などに気をかけていると
あまり感じられない","ややマイナスに影響した","人に投資をしない
後回しにする","プラスに影響した","面白いことをやってくれそうなど
聞く、期待感","マイナスに影響した","人件費削減で、仕事量は減らないため","ややプラスに影響した","期待される場所、分野で仕事していること","影響しなかった","","ややプラスに影響した","少しずつ会社の成長は感じる","ややマイナスに影響した","上長も会社との板ばさみと感じる","ややプラスに影響した","大変状況を共にしている","影響しなかった","","非常にマイナスに影響した","ずっと平行線
現場の理解が少ない
距離を感じる","ややプラスに影響した","新しいことにチャレンジできてる","マイナスに影響した","特別休暇の廃止やみなし残業など
法律に触れないよう都合の良いように行っているように感じる
説明不足、労働組合が無いからでしょうか
","影響しなかった","","ややプラスに影響した","やらしてくれる風土は","ややプラスに影響した","ライフスタイル提案や食文化の提供","プラスに影響した","ワクワク感や期待されている","マイナスに影響した","長いので","ややマイナスに影響した","肩書きが付かない上がらない風潮","影響しなかった","","マイナスに影響した","需要と供給が合わない","プラスに影響した","丁寧でありがたい","ややプラスに影響した","前より良くなっている","影響しなかった","","いない","10年以上","良い企画だった。","他店の状況が把握できる","少しは進んでいるように感じる。","決定スピードが速","知っている","どちらともいえない","","仕事や趣味関連の販売","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"3X0Ll3clgz","2019/06/17 22:15:12","セグメントなし","","0","非常にマイナスに影響した","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","非常にマイナスに影響した","先程書き忘れたが、残業込みで手取り18万は少ないと思う。一般的に残業無しでの基本給で、今後残業込みを減らしていくとは言え、「今」も残業込みで生活していることを忘れないで下さい。
幹部の方達はご家族がいるとはいえ、手取り１８万で生活できますか？","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","いない","出来る限りすぐやめたい","良い企画だったとは思わない。","","進んでいるようには感じない。","","知っている","","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"3X0Ll3clgz","2019/06/17 22:09:13","セグメントなし","","2","影響しなかった","","非常にマイナスに影響した","ブランドの知名度に対してHOMEの人数が少なく、店舗が増え下がグラグラのまま上ばかり大きくなっていくため。","マイナスに影響した","","影響しなかった","","非常にマイナスに影響した","業務過多の人、少ない人との差がとてもあり、仕事を回さない環境で上長のみ残業をしているため","マイナスに影響した","","非常にマイナスに影響した","働いている量や大変さに比べて報酬がとても少ないため。","マイナスに影響した","","非常にマイナスに影響した","","影響しなかった","","影響しなかった","","影響しなかった","","マイナスに影響した","","非常にマイナスに影響した","無いようなものだから。","影響しなかった","","非常にマイナスに影響した","","マイナスに影響した","","影響しなかった","","非常にマイナスに影響した","","非常にマイナスに影響した","","非常にマイナスに影響した","","影響しなかった","","ややマイナスに影響した","","影響しなかった","","プラスに影響した","","いない","出来る限りすぐやめたい","良い企画だったとは思わない。","バームクーヘンなどよりももっと他に目を向ける場所があると思う。メッセージカードを作るお金があるなら給与に回して欲しい。","進んでいるようには感じない。","","知っている","どちらともいえない","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"Ak43beFoTZ","2019/06/17 22:05:38","セグメントなし","","4","影響しなかった","","ややマイナスに影響した","長期間統括不在のため","影響しなかった","","影響しなかった","","ややマイナスに影響した","業務過多による体調不良者が多いため","影響しなかった","","非常にマイナスに影響した","他人に勧められる額ではない","影響しなかった","","マイナスに影響した","上長との関係が評価に大いに影響するため","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","家賃手当があれば嬉しい","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","マイナスに影響した","残業が常態化しているため","非常にマイナスに影響した","先輩を見てると感じられないため","非常にマイナスに影響した","同上","ややマイナスに影響した","","影響しなかった","","ややマイナスに影響した","","ややプラスに影響した","自分が好きな服装ができるため","いない","10年以上","良い企画だったとは思わない。","バウムリダーだったがチーム内からの不満が多かったため。
バウムに費やす時間やお金があるなら業務に充てたい等","進んでいるようには感じない。","","知っている","したい","所得を増やしたい","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
