id,gender,age,lengthofservice,entrymethod,2019 status,eNPS,vision,stability,missioncohe,customer,workload,evaluation,salary,growth,boss,colleagues,pa,home.store,jobmeaning,wellfare,clean,culture,influence,reputation,workingtime,promotesalary,autonomy,training,facilities,uniform
1100002,1,44,18,Old,Stay,5,4,4,4,4,4,4,2,4,7,4,1,7,7,4,6,4,4,4,4,4,4,4,4,4
1100003,1,47,18,Old,Stay,4,5,3,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,5,4,3,3,4,4,4
1100004,2,42,17,Old,Stay,4,3,3,4,4,4,3,2,4,7,7,4,4,4,2,4,2,4,6,2,2,3,2,4,4
1100005,2,49,17,Old,Stay,5,5,3,4,4,1,3,1,5,3,5,4,3,5,1,4,3,4,5,1,1,5,3,1,4
1100006,2,41,16,Old,Stay,5,4,1,4,4,1,4,1,4,7,7,4,4,4,4,4,1,4,7,1,1,4,4,1,4
1100009,1,57,16,Old,Stay,6,7,4,4,4,4,4,3,4,4,4,4,4,4,3,1,4,4,4,4,4,4,4,3,4
1100010,2,43,16,Old,Stay,1,5,2,3,5,2,3,1,3,4,5,4,4,5,2,4,2,2,6,1,2,3,4,2,4
1100011,1,47,16,Old,Stay,3,2,2,4,6,4,6,6,6,5,6,6,6,7,1,4,6,4,6,6,2,6,4,2,4
1100012,1,43,16,Old,Stay,5,5,2,4,5,3,4,2,5,5,5,5,5,5,2,4,2,5,4,2,2,3,3,3,4
1100014,2,38,16,Old,Stay,6,5,5,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4
1100015,2,40,15,Old,Stay,3,5,1,2,4,2,3,1,5,4,1,4,4,3,1,1,2,4,5,2,1,4,4,2,4
1100016,2,38,14,Old,Stay,0,4,2,4,4,3,3,2,4,4,4,4,4,2,4,2,2,4,6,2,2,3,4,4,4
1100017,1,42,14,Old,Stay,5,7,4,7,5,3,4,2,5,7,7,4,2,6,5,4,6,5,3,3,2,2,1,2,7
1100018,1,43,14,Old,Stay,5,4,4,4,2,4,4,4,2,2,4,2,4,4,3,4,4,4,6,4,4,4,4,3,4
1100019,2,46,14,Old,Stay,0,3,1,2,4,3,1,1,2,2,4,4,1,1,1,4,1,4,4,4,1,4,2,4,4
1100020,1,45,14,Old,Stay,3,6,1,5,3,2,2,2,5,6,6,4,4,5,1,2,4,4,5,1,1,3,4,2,4
1100022,1,36,14,Old,Stay,2,4,2,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,2,4
1100023,2,44,14,Old,Stay,0,4,2,4,4,1,4,1,4,4,4,4,3,4,3,2,4,4,4,2,4,2,4,3,4
1100024,2,38,16,Old,Stay,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4,4,4,4,3,4,4
1100025,2,41,14,Old,Stay,4,6,3,4,3,3,5,2,5,4,5,4,4,5,2,3,5,5,6,2,3,3,3,3,4
1100027,2,38,16,Old,Stay,6,4,5,4,3,3,5,4,4,5,5,5,4,5,4,4,4,4,5,2,3,4,4,4,4
1100028,1,38,15,Old,Stay,3,4,4,4,4,3,4,4,4,4,6,4,4,4,4,4,3,4,4,3,4,4,4,4,4
1100030,2,40,13,Old,Stay,4,6,2,4,4,2,4,2,6,5,5,6,3,6,4,2,2,4,6,2,2,3,4,4,4
